Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27, C28, C3, C31, C4, C5",0805,7,100nF 50V,CC0805KRX7R9BB104
"C10, C11, C12, C15, C16, C9",C1206,6,10uF 50V,GCM31CC71E106KA03L
"C13, C14, C17, C18, C20, C21",CAP-TH_BD10.0-P5.00-D0.6-FD_2,6,100uF 100V,EEU-FC1E101S
"C2, C26, C33, C35, C36, C40, C42, C43, C8",0805,9,0.1uF 50V,
"C22, C38, C45",0603,3,22pF 50V,
"C23, C24, C34, C39, C41, C46",C1206,6,22uF 25V,
"C25, C37, C44",0805,3,1uF 50V,
"C29, C30, C32",0805,3,0.47uF 50V,CC0805KKX7R9BB474
"C6, C7",0603,2,8pF 50V,CC0603JRNPO9BN8R0
"CN13, CN14, CN15, CN16",SCREW-SMD_TH162050CTJ,4,~,
"D1, D2",DIONC1608X55N,2,PESD0603-240,PESD0603-240
"D10, D11, D18, D19, D20, D21, D22, D23, D24, D25, D26, D9",LED_APT2012SURCK,12,APT2012SURCK,
"D12, D13, D14, D15, D16, D17",D_SMB,6,SMBJ20A,C19077568
"D3, D4",D_SMB,2,SMBJ13CA,C19077568
D5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,
"D6, D7",SMB_L4.6-W3.6-LS5.3-RD,2,SS34,
D8,SMA_L4.3-W2.6-LS5.0-FD,1,SS14,
"F1, F7",0154002DR,2,0154002.DR,
"F2, F3, F4",0154005DR,3,0154005.DR,
F8,1812L010DR,1,1812L110_24DR,
IC1,QFN65P400X400X90-17N,1,TSYS01,
J1,SSM-120-XXX-DV,1,RPI_5_WITH_SSQ-120-01-F-D,
"J10, J16, J19, J2, J21, J24, J50, J6",1778719,8,1778719,
"J12, J13, J23, J27, J32, J37, J38, J39, J40, J43, J45, J46, J48, J49, J52, J53, J55, J56, J57, J8",B04B-JWPF-SK-R,20,B04B-JWPF-SK-R,
J14,XT30PW-F_AMASS_XT30PW-F,1,XT30PW-F,
"J15, J35, J5, J7",SM04B-GHS-TB,4,SM04B-GHS-TB_LF__SN_,
J17,CONN-TH_SM03B-GHS-TB-LF-SN,1,SM03B-GHS-TB(LF)(SN),
"J25, J26, J28, J34, J42, J44",B08B-JWPF-SK-R,6,B08B-JWPF-SK-R,
"J29, J30, J31",B06B-JWPF-SK-R,3,B06B-JWPF-SK-R,
"J3, J4",AXK6S00547YG,2,AXK6S00547YG,
J36,SM05B-GHS-TB,1,SM05B-GHS-TB_LF__SN_,
J41,SM06B-GHS-TB,1,SM06B-GHS-TB_LF__SN_,
"J47, J51",fp_072ec239da,2,GIGABLOX_NANO_SWITCH_REVA_MODULE,
J9,SM04B-GHS-TB_J9,1,SM04B-GHS-TB_LF__SN_,
"K1, K10, K2, K4, K5, K6, K7, K8, K9",SOP254P610X218-4N,9,CPC1019N,
"L1, L2, L3",IND-SMD_CYA0650-3.3UH,3,3.3uH,
"LED4, LED5",LEDC2012X85N,2,APT2012LVBC_D,
LS1,CMT8530SSMTTR,1,CMT-8530S-SMT-TR,
"Q1, Q2",fp_a2a0cc2e74,2,SIRA99DP-T1-GE3,
"Q4, Q5, Q6, Q7, Q8, Q9",POWERPAK-SO-8_L5.9-W4.9,6,"PSMN4R3-30BL,118","PSMN4R3-30BL,118"
"R1, R22, R26, R27, R42, R43, R44, R45, R46",0805,9,1K5 150V,
"R10, R11, R17, R19, R20, R21",0805,6,10k 150V,RC0805FR-0710KL
"R12, R13",0805,2,5K1 150V,
"R14, R18",0805,2,120R 150V,RC0805FR-07120RL
R16,0805,1,0R 150V,RC0805FR-070RL
"R2, R23, R33, R36, R4, R5",0805,6,100k 150V,
"R24, R34, R37",0805,3,75K 150V,
"R25, R35, R38, R7, R9",0805,5,10K 150V,
"R28, R31, R32, R39, R40, R41",0805,6,1R 150V,
"R29, R30",0805,2,4K7 150V,
"R3, R6",0805,2,100R 150V,
R47,0805,1,47K 150V,
"R50, R51, R52, R53, R54, R55, R74, R75, R76",0805,9,2K 150V,RC0805FR-072KL
"R67, R68, R69, R70, R71, R72",2512,6,2mR,PA2512FKE070R002E
"R77, R78, R79",0805,3,560R 150V,
R8,0805,1,100k 150V,RC0805FR-0710KL
"S1, S2",SLW9135352ASMT,2,SLW-913535-2A-SMT,SLW-913535-2A-SMT
U1,SOIC127P600X175-8N,1,TJA1049T/3J,TJA1049T/3J
"U13, U14, U15, U16",WAFER-GH1.25-4PLB,4,~,
"U17, U18, U4",VREG_SY8205FCC,3,SY8205FCC,
"U19, U20, U21, U5",SMD_SMTSO3060CTJ,4,SMTSO3050CTJ,
U2,SOIC127P1030X265-18N,1,MCP2515-I/SO,MCP2515-I/SO
"U29, U30, U31",MSOP-16_3x4.039mm_P0.5mm,3,LTC4370IMS#PBF,LTC4370IMS#PBF
"U3, U6, U7, U8",SMD_BD6.0-D4.2,4,SMTSOM380BTR,
USB33,USB-C-SMD_TYPEC-303-ACP16,1,TYPEC-303-ACP16,
X1,NX3225GB-16M-STD-CRA-2,1,16MHz,NX3225GB-16M-STD-CRA-2
